Session,Rat,trialtype,cue,mu,tau
5,33,0,8,0.316827111725411,0.105031590239042
0.5,25,0,8,0.28845379129745,0.267846907026038
1,25,0,8,0.285761248688766,0.367965970759377
1.5,25,0,8,0.291529185144874,0.348035515177004
2,25,0,8,0.302191125819991,0.222518730855863
2.5,25,0,8,0.283092853714022,0.327988946003845
3,25,0,8,0.285831428778965,0.3777496358032
3.5,25,0,8,0.313788949780152,0.354383675114836
4,25,0,8,0.289699698110834,0.368630806516041
4.5,25,0,8,0.310835256627174,0.259025829676855
5,25,0,8,0.301354114715861,0.227556609791653
0.5,26,0,8,0.347994511650801,0.254275124741864
1,26,0,8,0.341353264332779,0.198171956796271
1.5,26,0,8,0.340675992192772,0.140278430979866
2,26,0,8,0.333571810890374,0.176579860006076
2.5,26,0,8,0.343376488677014,0.201069961553526
3,26,0,8,0.341015577604571,0.196786755922934
3.5,26,0,8,0.342142638809314,0.187663475426825
4,26,0,8,0.335536248473011,0.270924488323397
4.5,26,0,8,0.336368302136532,0.145623905917373
5,26,0,8,0.304379436522134,0.171642456770444
0.5,27,0,8,0.407782332467662,0.098012112131671
1,27,0,8,0.371028339932421,0.159108304735831
1.5,27,0,8,0.377316462668733,0.16213016360264
2,27,0,8,0.368676758092613,0.146444314165409
2.5,27,0,8,0.340127079947674,0.149606883510175
3,27,0,8,0.397818545510216,0.248897646506822
3.5,27,0,8,0.39275940101476,0.148097575054253
4,27,0,8,0.399840615165845,0.170469480854176
4.5,27,0,8,0.377941691270293,0.176636868910271
5,27,0,8,0.395821041551487,0.180636479273911
0.5,28,0,8,0.308574261216486,0.185057548323461
1,28,0,8,0.312174905129953,0.238679351819897
1.5,28,0,8,0.315578478226714,0.16358815352923
2,28,0,8,0.302326426875808,0.17396333981088
3,28,0,8,0.253999964373755,0.254708250847324
3.5,28,0,8,0.294786523428578,0.193935510812102
4,28,0,8,0.279789545403237,0.181237433571243
4.5,28,0,8,0.280030229194339,0.16750739351325
5,28,0,8,0.299766015571901,0.146808554902083
0.5,29,0,8,0.337492643775259,0.247743306825081
1,29,0,8,0.315574583701138,0.228172868520378
1.5,29,0,8,0.337040641944979,0.240650103260491
2,29,0,8,0.303683315774126,0.31860311454392
3,29,0,8,0.302283674857081,0.225935757975617
3.5,29,0,8,0.292805775330329,0.25276870078379
4,29,0,8,0.316598360651338,0.266308281892532
4.5,29,0,8,0.304057870042593,0.314081620855669
5,29,0,8,0.290166608822259,0.271799479140773
0.5,30,0,8,0.405231694752308,0.157941910905075
1,30,0,8,0.368525359247364,0.179110202037348
1.5,30,0,8,0.378231002431822,0.205568580194298
2,30,0,8,0.37629834838991,0.21162588577953
3,30,0,8,0.353282856621632,0.182449539405282
3.5,30,0,8,0.364587059666625,0.195711229509821
4,30,0,8,0.401791214671382,0.178539372781106
4.5,30,0,8,0.353699679232989,0.186918329705346
5,30,0,8,0.370434919385531,0.192542689548858
0.5,31,0,8,0.277304245962912,0.237465051114638
1,31,0,8,0.270026719944358,0.302233263669751
1.5,31,0,8,0.284974165237302,0.2780714374175
2,31,0,8,0.30669159018838,0.155976885495023
3,31,0,8,0.268908616412152,0.190625918436949
3.5,31,0,8,0.272776542556949,0.290196769018637
4,31,0,8,0.261297242842197,0.286915241298711
4.5,31,0,8,0.270864860309952,0.237520697203274
5,31,0,8,0.277927318939963,0.238062273193949
0.5,32,0,8,0.323263159956788,0.164763102792248
1,32,0,8,0.297085567530209,0.218700886793421
1.5,32,0,8,0.336934935993008,0.242164818496611
2,32,0,8,0.326538719004022,0.167614724742153
3,32,0,8,0.295999961822436,0.257446377131144
3.5,32,0,8,0.307997621801486,0.211857467431389
4,32,0,8,0.285370840568367,0.191716728209904
4.5,32,0,8,0.327461322554983,0.138258409825201
5,32,0,8,0.293879219850171,0.221126669564912
1,1,0,8,0.639280358135929,0.174201867605182
1,2,0,8,0.498652450736238,0.319061646769257
1,3,0,8,0.447721961989706,0.077836282341673
1,5,0,8,0.405615359352888,0.508787533200045
1,6,0,8,0.451893129520128,0.211933875549038
1,7,0,8,0.484682384037787,0.152381726951819
1,8,0,8,0.575839056672885,0.278726608474644
1,10,0,8,0.446142259155197,0.121406710396666
1,11,0,8,0.326955468381264,0.165830034597083
1,13,0,8,0.370222626739457,0.128549907793305
1,LTC17,1,8,0.314630083184288,0.252823324532935
2,LTC17,1,8,0.326377477879955,0.352753509793141
3,LTC17,1,8,0.288363169205146,0.250422465894199
4,LTC17,1,8,0.286230873684672,0.340183378728911
5,LTC17,1,8,0.269509040914778,0.195957594953919
1,LTC23,1,8,0.294709208749985,0.458484992697184
2,LTC23,1,8,0.259164380943555,0.375685147832927
3,LTC23,1,8,0.303480014660776,0.415615558684407
4,LTC23,1,8,0.49555897685292,0.421315785240511
5,LTC23,1,8,0.277259983183711,0.413425094824299
1,LTC13,1,8,0.447666724167779,0.318558859346312
2,LTC13,1,8,0.447274519125951,0.234642876648168
3,LTC13,1,8,0.456579099308004,0.221784050622285
4,LTC13,1,8,0.397899452725985,0.281216550205631
5,LTC13,1,8,0.422851674901185,0.185822307834193
1,LTC16,1,8,0.418849239845537,0.346924747230571
2,LTC16,1,8,0.371047321767792,0.428538351464524
3,LTC16,1,8,0.332748523391397,0.363700465422334
4,LTC16,1,8,0.338537013697605,0.480959219678859
5,LTC16,1,8,0.337994525177973,0.405112105497127
1,LTC15,1,8,0.360222067817164,0.404616364529504
2,LTC15,1,8,0.379193494133088,0.355311319723434
3,LTC15,1,8,0.308811598326119,0.352836022965064
4,LTC15,1,8,0.29799979029284,0.426609726357549
5,LTC15,1,8,0.326680417552043,0.383704938437426
1,21,1,8,0.371007009993626,0.24667483208795
2,21,1,8,0.320284322111966,0.143086130233377
3,21,1,8,0.314916923633284,0.404591252667125
4,21,1,8,0.321850121502346,0.191229918493512
5,21,1,8,0.282524825919417,0.146701419299632
1,33,1,8,0.338402334971997,0.286155886789634
2,33,1,8,0.32347730308177,0.240112821731572
3,33,1,8,0.305023001825015,0.186831320408619
4,33,1,8,0.32185538579867,0.287228743260475
5,33,1,8,0.310567102010613,0.180498279023029
1,25,1,8,0.303999864939198,0.494797097647501
2,25,1,8,0.339200687028752,0.268696293038393
3,25,1,8,0.2861925941604,0.407499840837558
4,25,1,8,0.348755643815033,0.387573700888929
5,25,1,8,0.321118370431241,0.246777775440271
1,26,1,8,0.339890646123307,0.449878982751099
2,26,1,8,0.307859786149797,0.389055690562741
3,26,1,8,0.35337792478267,0.268933815553854
4,26,1,8,0.332342396411291,0.33222065362635
5,26,1,8,0.316412951909497,0.310390462828825
1,27,1,8,0.379675046661444,0.224890156408701
2,27,1,8,0.396254562690763,0.1803755015194
3,27,1,8,0.407820304787264,0.276121929818953
4,27,1,8,0.421023581996436,0.181890867782399
5,27,1,8,0.467228062872171,0.16621186027715
1,28,1,8,0.320937526217173,0.288313640129921
2,28,1,8,0.313605125764872,0.219465899866592
3,28,1,8,0.281922264475221,0.22063696796818
4,28,1,8,0.26894066728297,0.216110893777871
5,28,1,8,0.292446362081339,0.22039130635714
1,29,1,8,0.321075994679666,0.34049360263863
2,29,1,8,0.309555219888505,0.266304119699042
3,29,1,8,0.302268385873575,0.244515655021751
4,29,1,8,0.285163100127005,0.318517772686024
5,29,1,8,0.283858407463166,0.259341518107605
1,30,1,8,0.381726466519102,0.281721019541906
2,30,1,8,0.377213150571255,0.287940602279064
3,30,1,8,0.333326704730701,0.247572383218354
4,30,1,8,0.379224493210229,0.247223800759517
5,30,1,8,0.340280089457667,0.279223238648898
1,31,1,8,0.269522782380364,0.302062231173321
2,31,1,8,0.285746786065368,0.23523108711243
3,31,1,8,0.278222432604891,0.225631634377074
4,31,1,8,0.266309751419022,0.305522668099615
5,31,1,8,0.270432782670462,0.292214630641759
1,32,1,8,0.277999729743047,0.470199508162842
2,32,1,8,0.329141301068942,0.29840840420028
3,32,1,8,0.293236306115599,0.265286788448673
4,32,1,8,0.312976852783032,0.299069948658291
5,32,1,8,0.302966138940259,0.285717491223804
1,1,1,8,0.755510134299395,0.159012984556962
1,2,1,8,0.540874884969773,0.486061947957675
1,3,1,8,0.397492363157752,0.296904330533852
1,5,1,8,0.595860099571144,0.446983673886501
1,6,1,8,0.449627684089639,0.26223460579778
1,7,1,8,0.429999976383861,0.430547671147464
1,8,1,8,0.630954171105867,0.372034608883354
1,10,1,8,0.425768241773975,0.242685972827155
1,11,1,8,0.347555457019547,0.234276020045172
1,13,1,8,0.365556929830457,0.293248002439582
0.5,LTC17,0,2,0.3241587715556,0.189364374639252
1,LTC17,0,2,0.303999982884951,0.199765791701044
1.5,LTC17,0,2,0.297610484113156,0.263213681958982
2,LTC17,0,2,0.337213946822542,0.26954368575316
2.5,LTC17,0,2,0.313436213562487,0.140427078509989
3,LTC17,0,2,0.301563001694752,0.21046222612188
3.5,LTC17,0,2,0.296409233992607,0.224770950627418
4,LTC17,0,2,0.310621924740945,0.224981797916177
4.5,LTC17,0,2,0.302033525699331,0.247393651853644
5,LTC17,0,2,0.270028405795636,0.299523915624849
0.5,LTC23,0,2,0.300693614418772,0.29833764360173
1,LTC23,0,2,0.290436052498102,0.417665916700042
1.5,LTC23,0,2,0.282628938020602,0.343995339232429
2,LTC23,0,2,0.275999810573072,0.35460554600886
3,LTC23,0,2,0.310259942671636,0.355785166183734
3.5,LTC23,0,2,0.286329370570942,0.39419359553908
4,LTC23,0,2,0.251999887385634,0.608375528785318
5,LTC23,0,2,0.281999976123786,0.412859323112128
0.5,LTC13,0,2,0.637182252291555,0.004136963016224
1,LTC13,0,2,0.443403218434639,0.306426484847332
1.5,LTC13,0,2,0.479559632247214,0.32593534185255
2,LTC13,0,2,0.477640688807136,0.320600862019031
2.5,LTC13,0,2,0.377430410750071,0.357519440116051
3,LTC13,0,2,0.472564314116492,0.138981855225068
4,LTC13,0,2,0.434609691348304,0.266013745221206
4.5,LTC13,0,2,0.422305404169511,0.19721205220761
5,LTC13,0,2,0.431208158626585,0.129554124604188
0.5,LTC16,0,2,0.385539985282438,0.371069851433292
1,LTC16,0,2,0.392755717825063,0.330799954685297
2,LTC16,0,2,0.397999980925447,0.419314889714467
2.5,LTC16,0,2,0.301999996931811,0.355508912887981
3,LTC16,0,2,0.33883204536384,0.227076750688444
3.5,LTC16,0,2,0.290285221898312,0.305344102811151
4,LTC16,0,2,0.345999633009342,0.369169617299626
4.5,LTC16,0,2,0.361013579657297,0.370850910657883
5,LTC16,0,2,0.356809828902158,0.322999623193644
0.5,LTC15,0,2,0.330087019522712,0.339576205231112
1,LTC15,0,2,0.330039624165941,0.350235882208688
2,LTC15,0,2,0.359481309101083,0.334881039856878
2.5,LTC15,0,2,0.310210333925384,0.29008671267478
3,LTC15,0,2,0.341994120300137,0.265125601239426
4,LTC15,0,2,0.328419599191881,0.247122239986592
4.5,LTC15,0,2,0.341077146186479,0.257943415447637
5,LTC15,0,2,0.293179342487517,0.336300350745461
0.5,21,0,2,0.282611320946179,0.1723816821387
1,21,0,2,0.380192803917627,0.279305267257285
1.5,21,0,2,0.373076105219361,0.2305154522468
2,21,0,2,0.315818047188418,0.232587001015046
2.5,21,0,2,0.313953436496638,0.287213130681046
3,21,0,2,0.322916795835261,0.46967821808591
3.5,21,0,2,0.324511753500761,0.178029307771286
4,21,0,2,0.311935824328872,0.222085625430402
4.5,21,0,2,0.288684762417779,0.188620813984055
5,21,0,2,0.298219803027528,0.22723683388903
0.5,33,0,2,0.337509344539697,0.355186238826933
1,33,0,2,0.336512112112169,0.340277854001013
1.5,33,0,2,0.35102363506571,0.290038251850142
2,33,0,2,0.3115555034915,0.259519148799203
2.5,33,0,2,0.297647423188701,0.286860650069884
3,33,0,2,0.325355503729162,0.216178646593107
3.5,33,0,2,0.32601336142821,0.214386642570373
4,33,0,2,0.341911719882452,0.297188221432109
4.5,33,0,2,0.299342904863176,0.217070699901005
