Session,Rat,trialtype,cue,medRT,HVpref
4.5,33,0,8,0.369999999999891,0
5,33,0,8,0.383000000000038,0.877906976744186
0.5,25,0,8,0.417000000000002,0
1,25,0,8,0.555000000000035,0.663793103448276
1.5,25,0,8,0.52599999999984,0
2,25,0,8,0.44399999999996,0.75609756097561
2.5,25,0,8,0.491000000000071,0
3,25,0,8,0.52899999999994,0.82962962962963
3.5,25,0,8,0.580000000000155,0
4,25,0,8,0.54200000000003,0.798657718120805
4.5,25,0,8,0.508999999999787,0
5,25,0,8,0.451999999999998,0.678082191780822
0.5,26,0,8,0.487999999999829,0
1,26,0,8,0.454999999999927,0.8
1.5,26,0,8,0.421000000000049,0
2,26,0,8,0.438000000000102,0.81294964028777
2.5,26,0,8,0.465999999999895,0
3,26,0,8,0.480999999999881,0.89763779527559
3.5,26,0,8,0.452999999999861,0
4,26,0,8,0.474000000000046,0.807339449541284
4.5,26,0,8,0.419000000000096,0
5,26,0,8,0.410000000000082,0.787878787878788
0.5,27,0,8,0.486999999999853,0
1,27,0,8,0.47199999999998,0.814285714285714
1.5,27,0,8,0.491999999999962,0
2,27,0,8,0.473999999999933,0.776859504132231
2.5,27,0,8,0.470000000000027,0
3,27,0,8,0.586000000000013,0.75609756097561
3.5,27,0,8,0.507999999999811,0
4,27,0,8,0.532000000000153,0.740157480314961
4.5,27,0,8,0.511999999999887,0
5,27,0,8,0.524000000000058,0.792592592592593
0.5,28,0,8,0.425999999999931,0
1,28,0,8,0.47400000000016,0.734375
1.5,28,0,8,0.431999999999789,0
2,28,0,8,0.424,0.82089552238806
3,28,0,8,0.390999999999963,0.707692307692308
3.5,28,0,8,0.400000000000091,0
4,28,0,8,0.408999999999878,0.783216783216783
4.5,28,0,8,0.381000000000085,0
5,28,0,8,0.3900000000001,0.755102040816326
0.5,29,0,8,0.5,0
1,29,0,8,0.451999999999998,0.747252747252747
1.5,29,0,8,0.498000000000047,0
2,29,0,8,0.490000000000009,0.795698924731183
3,29,0,8,0.467000000000098,0.770491803278688
3.5,29,0,8,0.460000000000036,0
4,29,0,8,0.510000000000048,0.716216216216216
4.5,29,0,8,0.509999999999991,0
5,29,0,8,0.494999999999948,0.702479338842975
0.5,30,0,8,0.519000000000005,0
1,30,0,8,0.507999999999981,0.728260869565217
1.5,30,0,8,0.52800000000002,0
2,30,0,8,0.526000000000124,0.69811320754717
3,30,0,8,0.470000000000027,0.565217391304348
3.5,30,0,8,0.488999999999919,0
4,30,0,8,0.517000000000003,0.720588235294118
4.5,30,0,8,0.484000000000037,0
5,30,0,8,0.504000000000019,0.731543624161074
0.5,31,0,8,0.412000000000035,0
1,31,0,8,0.434000000000083,0.697247706422018
1.5,31,0,8,0.433000000000106,0
2,31,0,8,0.415999999999826,0.68421052631579
3,31,0,8,0.364000000000033,0.790697674418605
3.5,31,0,8,0.398000000000138,0
4,31,0,8,0.405999999999949,0.690647482014388
4.5,31,0,8,0.409999999999968,0
5,31,0,8,0.41399999999976,0.737226277372263
0.5,32,0,8,0.419999999999618,0
1,32,0,8,0.402000000000044,0.797297297297297
1.5,32,0,8,0.468000000000018,0
2,32,0,8,0.432000000000016,0.760869565217391
3,32,0,8,0.403999999999996,0.793814432989691
3.5,32,0,8,0.444999999999993,0
4,32,0,8,0.415000000000077,0.805309734513274
4.5,32,0,8,0.409999999999968,0
5,32,0,8,0.432999999999993,0.810126582278481
1,1,0,8,0.793999999999869,0.685185185185185
1,2,0,8,0.707000000000051,0.648148148148148
